id, value
Talend Studio,
Talend Studio.Authentication,
Talend Studio.Authentication.tSetKeystore,1
Talend Studio.AWS,
Talend Studio.AWS.cAWSConnection,3
Talend Studio.AWS.S3,
Talend Studio.AWS.S3.cAWSS3,4
Talend Studio.AWS.cAWSSES,5
Talend Studio.AWS.cAWSSNS,6
Talend Studio.AWS.SQS,
Talend Studio.AWS.SQS.cAWSSQS,7
Talend Studio.Big Data,
Talend Studio.Big Data.tBigQueryBulkExec,9
Talend Studio.Big Data.tBigQueryInput,10
Talend Studio.Big Data.tBigQueryOutput,11
Talend Studio.Big Data.tBigQueryOutputBulk,12
Talend Studio.Big Data.tBigQuerySQLRow,13
Talend Studio.Big Data.Cassandra,
Talend Studio.Big Data.Cassandra.tCassandraBulkExec,14
Talend Studio.Big Data.Cassandra.tCassandraClose,15
Talend Studio.Big Data.Cassandra.tCassandraConnection,16
Talend Studio.Big Data.Cassandra.tCassandraInput,17
Talend Studio.Big Data.Cassandra.tCassandraOutput,18
Talend Studio.Big Data.Cassandra.tCassandraOutputBulk,19
Talend Studio.Big Data.Cassandra.tCassandraOutputBulkExec,20
Talend Studio.Big Data.Cassandra.tCassandraRow,21
Talend Studio.Big Data.tDBFSConnection,22
Talend Studio.Big Data.tDBFSGet,23
Talend Studio.Big Data.tDBFSPut,24
Talend Studio.Big Data.DynamoDB,
Talend Studio.Big Data.DynamoDB.tDynamoDBInput,25
Talend Studio.Big Data.DynamoDB.tDynamoDBOutput,26
Talend Studio.Big Data.tGSBucketCreate,27
Talend Studio.Big Data.tGSBucketDelete,28
Talend Studio.Big Data.tGSBucketExist,29
Talend Studio.Big Data.tGSBucketList,30
Talend Studio.Big Data.tGSClose,31
Talend Studio.Big Data.tGSConnection,32
Talend Studio.Big Data.tGSCopy,33
Talend Studio.Big Data.tGSDelete,34
Talend Studio.Big Data.tGSGet,35
Talend Studio.Big Data.tGSList,36
Talend Studio.Big Data.tGSPut,37
Talend Studio.Big Data.HBase,
Talend Studio.Big Data.HBase.tHBaseClose,38
Talend Studio.Big Data.HBase.tHBaseConnection,39
Talend Studio.Big Data.HBase.tHBaseInput,40
Talend Studio.Big Data.HBase.tHBaseOutput,41
Talend Studio.Big Data.tHCatalogInput,42
Talend Studio.Big Data.tHCatalogLoad,43
Talend Studio.Big Data.tHCatalogOperation,44
Talend Studio.Big Data.tHCatalogOutput,45
Talend Studio.Big Data.HDFS,
Talend Studio.Big Data.HDFS.tHDFSCompare,46
Talend Studio.Big Data.HDFS.tHDFSConnection,47
Talend Studio.Big Data.HDFS.tHDFSCopy,48
Talend Studio.Big Data.HDFS.tHDFSDelete,49
Talend Studio.Big Data.HDFS.tHDFSExist,50
Talend Studio.Big Data.HDFS.tHDFSGet,51
Talend Studio.Big Data.HDFS.tHDFSInput,52
Talend Studio.Big Data.HDFS.tHDFSList,53
Talend Studio.Big Data.HDFS.tHDFSOutput,54
Talend Studio.Big Data.HDFS.tHDFSOutputRaw,55
Talend Studio.Big Data.HDFS.tHDFSProperties,56
Talend Studio.Big Data.HDFS.tHDFSPut,57
Talend Studio.Big Data.HDFS.tHDFSRename,58
Talend Studio.Big Data.HDFS.tHDFSRowCount,59
Talend Studio.Big Data.Hive,
Talend Studio.Big Data.Hive.tHiveClose,60
Talend Studio.Big Data.Hive.tHiveConnection,61
Talend Studio.Big Data.Hive.tHiveCreateTable,62
Talend Studio.Big Data.Hive.tHiveInput,63
Talend Studio.Big Data.Hive.tHiveLoad,64
Talend Studio.Big Data.Hive.tHiveRow,65
Talend Studio.Big Data.Impala,
Talend Studio.Big Data.Impala.tImpalaClose,66
Talend Studio.Big Data.Impala.tImpalaConnection,67
Talend Studio.Big Data.Impala.tImpalaCreateTable,68
